            , Film C/Refuerzo                                                   , m², 0.9                                ,                         , 0
            , Malla Antihierba                                                  , m², 0.4                                ,                         , 
            , Malla Antitrip                                                    , m², 0.6                                ,                         , 0
            , Malla Antigranizo                                                 , m², 0.39                               ,                         , 0
            , Malla Antigranizo   5 x 4                                         , m², 0.39                               , 21000                   , 8190
            , Malla Mosquitera (Cristal)  6 x 6                                 , m², 0.41                               , 3000                    , 1230
            , Malla Sombreo  90%                                                , m², 0.85                               ,                         , 0
            , Plástico incoloro usar tirar -  3A                                , kl, 4.2                                ,                         , 0
            , Mosquetón ovalado - Moschetone - Gancho anilla                    , ud, 0.18                               ,                         , 0
            , POLEA/GARRUCHA METAL 40 REFOR CABLE HACER                         , ud, 1.4                                , 200                     , 280
            , Puerta S.T. Galva  0'00 x 0'00m (2H)                              , ud, 500                                , 2                       , 1000
            , "Retenciones  3,00 mm"                                            , ud, 1.45                               ,                         , 0
            , "Retenciones  4,00 mm"                                            , ud, 2.05                               ,                         , 0
            , "Retenciones  5,00 mm"                                            , ud, 2.1                                ,                         , 0
            , "Retenciones  6,00 mm"                                            , ud, 2.4                                ,                         , 0
            , "Retenciones  8,00 mm"                                            , ud, 2.75                               , 260                     , 715
            , Tensor sonaja invernadero                                         , ud, 2.8                                , 10                      , 28
            , Tensor valla                                                      , ud, 0.9                                ,                         , 0
            , "Trenza Bifilar   5,00 mm  "                                      , ml, 0.22                               , 15000                   , 3300
            , "Trenza Trifilar  5,40 mm  "                                      , ml, 0.23                               ,                         , 0
            , "Trenza Trifilar  8,20 mm  "                                      , ml, 0.65                               , 2000                    , 1300
            , "Tubo Galv sendzimir redondo, 32mm x 1,50 x 2000 "                , ud, 5                                  ,                         , 0
            , "Tubo Galv sendzimir redondo, 40mm x 1,50 x 2000 "                , ud, 7.5                                ,                         , 0
            , "Tubo Galv sendzimir redondo, 48mm x 1,50 x 2500"                 , ud, 10.65                              ,                         , 0
            , "Tubo Galv sendzimir redondo, 48mm x 1,50 x 3.000"                , ud, 12.8                               ,                         , 0
            , "Tubo Galv sendzimir redondo, 48mm x 1,50 x 3500"                 , ud, 14.91                              ,                         , 0
            , "Tubo Galv sendzimir redondo, 48mm x 1,50 x 4000"                 , ud, 17.04                              ,                         , 0
            , "Tubo Galv sendzimir redondo, 50mm x 2,00 x 4500"                 , ud, 12.25                              ,                         , 0
            , "Tubo Galv sendzimir redondo, 60mm x 1,50 x 2000 "                , ud, 9.8                                ,                         , 0
            , "Tubo Galv sendzimir redondo, 60mm x 1,50 x 3000"                 , ud, 12.5                               ,                         , 0
            , "Tubo Galv sendzimir redondo, 60mm x 1,50 x 4000 "                , ud, 19.3                               ,                         , 0
            , "Tubo Galv sendzimir redondo, 60mm x 1,50 x 4500"                 , ud, 22.85                              ,                         , 0
            , "Tubo Galv sendzimir redondo, 60mm x 2,00 x 5500"                 , ud, 31.4                               ,                         , 0
            , "Tubo Galv sendzimir redondo, 60mm x 2,50 x 5500"                 , ud, 29                                 ,                         , 0
            , "Tubo Galv sendzimir redondo, 76mm x 2,00 x 3000 "                , ud, 22.8                               ,                         , 0
            , "Tubo Galv sendzimir redondo, 76mm x 2,00 x 3500"                 , ud, 26.6                               ,                         , 0
            , "Tubo Galv sendzimir redondo, 90mm x 3,00 x 4500"                 , ud, 59.6                               ,                         , 0
            , "Tubo Galv caliente redondo, 60mm x 2,00 x 5000"                  , ud, 27                                 , 280                     , 7560
            , "Tubo Galv caliente redondo, 60mm x 2,00 x 6000"                  , ud, 32                                 ,                         , 0
            , "Tubo Galv caliente redondo, 76mm x 2,00 x 2500"                  , ud, 19.5                               ,                         , 0
            , "Tubo Galv caliente redondo, 76mm x 3,00 x 4000"                  , ud, 28                                 , 125                     , 3500
            , "Tubo Galv caliente redondo, 76mm x 3,00 x 4500"                  , ud, 41.5                               ,                         , 0
            , "Tubo Galv caliente redondo, 90 x 3,00 x 5500"                    , ud, 19.5                               ,                         , 0
            , Palos de 6/8 - Eucalipto x 2m                                     , ud, 4.45                               ,                         , 0
            , Palos de 6/8 - Eucalipto x 3m                                     , ud, 6.7                                ,                         , 0
            , Palos x 8/10 - Eucalipto                                          , ud, 9.5                                ,                         , 0
            , Trabajo c/ máquina (hoyo)                                         , ud, 1                                  ,                         , 0
            , Trabajo c/ máquina                                                , hr, 55                                 , 50                      , 2750
            , Trabajo c/ tractor                                                , hr, 40                                 ,                         , 0
            , Trabajo c/ camión grúa                                            , hr, 50                                 ,                         , 0
            , Desplazamiento                                                    , ud, 50                                 ,                         , 0
            , Porte  Alicante                                                   , ud, 200                                ,                         , 0
            , Porte  Murcia                                                     , ud, 200                                ,                         , 0
            , Porte  Valencia                                                   , ud, 600                                , 4                       , 2400
            , Mano de obra                                                      , m², 1.2                                , 15300                   , 18360
            , Mano de obra                                                      , hr, 20                                 ,                         , 0
            ,                                                                   , hr,                                    ,                         , 0
            , Desescombro                                                       , ud, 100                                ,                         , 0
            , Tornillo rosca chapa                                              , ud, 0.11                               ,                         , 0
            ,                                                                   ,   ,                                    ,                         , 63349.25
            , Beneficio                                                         ,   , #REF!                              ,                         , 
            ,                                                                   ,   ,                                    ,                         , 
            ,                                                                   ,   ,                                    ,                         , 
            , Total   m²                                                        ,   , Total   ml / m²                    ,                         , 4.14047385620915
            ,                                                                   ,   ,                                    ,                         , 
            ,                                                                   ,   , Total ml / m² :                    ,                         , 
            , Total m²:                                                         ,   ,                                    ,                         , 
            ,                                                                   ,   , Importe materiales (B.I.) ->       ,                         , 0
            ,                                                                   ,   , I.V.A. ->                          , 21%                     , 0
            ,                                                                   ,   , TOTAL PTO.  ->                     ,                         , 0
            ,                                                                   ,   ,                                    ,                         , 
            ,                                                                   ,   ,                                    ,                         , 
            ,                                                                   ,   ,                                    ,                         , 
            ,                                                                   ,   ,                                    ,                         , 
Notas :     ,                                                                   ,   ,                                    ,                         , 
